Title,Awarded value,Date of Award,Company name,Street,City,Postal code,Contract awarded by,Basis for DAC Award,Latitude,Longitude
NIFRS1769426-E Replacement/Upgrade of Fire Alarms at Various Stations,"£175,850 ",20/02/2019,BI Electrical Services (NI) Ltd,"11 Michelin Road, Mallusk",NEWTOWNABBEY,BT36 4PT,Northern Ireland Fire & Rescue Service,N/A,54.67767,-5.98456
NIFRS - Renewal Gates and Safety Upgrades to Existing Entrance Gates.,"£38,030 ",22/02/2019,H&J Martin Ltd,ROSEMOUNT HOUSE,BELFAST,BT3 9HA,Northern Ireland Fire & Rescue Service,N/A,54.60261,-5.91055
Framework for Mechanical Maintenance & Minor Works - Lot 1,£0 ,27/02/2019,Michael Nugent Ltd,2 Tandragee Road,POMEROY,BT70 3DS,Belfast Health & Social Care Trust,In the public interest,54.58925,-6.91117
Framework for Mechanical Maintenance & Minor Works - Lot 2,£0 ,27/02/2019,William Coates Ltd,"37 Mallusk Road, Newtownabbey, Co.Antrim ",BELFAST,BT36 4PP,Belfast Health & Social Care Trust,In the public interest,54.67474,-5.98721
Framework for Mechanical Maintenance & Minor Works - Lot 3,£0 ,27/02/2019,CHC Group,33 Seagoe Industrial Estate,CRAIGAVON,BT63 5QD,Belfast Health & Social Care Trust,In the public interest,54.44379,-6.42491
Framework for Mechanical Maintenance & Minor Works - Lot 4,£0 ,27/02/2019,WJM Building Services Ltd,574 - 576 Ballysillan Road,BELFAST,BT14 6RN,Belfast Health & Social Care Trust,In the public interest,54.63218,-5.95775
Framework for Electrical Maintenance & Minor Works - Lot 1,£0 ,27/02/2019,Graham Facilities Management,101 Airport Road West,BELFAST,BT3 9ED,Belfast Health & Social Care Trust,In the public interest,54.62765,-5.87371
Framework for Electrical Maintenance & Minor Works - Lot 2,£0 ,27/02/2019,LM Services (NI) Ltd,18 Old Saintfield Road,BELFAST,BT8 8EY,Belfast Health & Social Care Trust,In the public interest,54.53773,-5.899
Framework for Electrical Maintenance & Minor Works - Lot 3,£0 ,27/02/2019,Irwin M&E Ltd,Unit 4 Diviny Drive,CRAIGAVON,BT63 5WE,Belfast Health & Social Care Trust,In the public interest,54.44822,-6.41513
Framework for Electrical Maintenance & Minor Works - Lot 4,£0 ,27/02/2019,JD McGeown Ltd ,16 - 18 Lower Windsor Avenue,BELFAST,BT9 7DW ,Belfast Health & Social Care Trust,In the public interest,54.58104,-5.9501
Urgent UPS Installation at Nucleus Cath Lab,"£50,000 ",07/03/2019,R. Loughlin Electrical Services Ltd,10 Grove Road,CASTLEDERG,BT81 7JJ,Western Health & Social Care Trust,In the public interest,54.72339,-7.5428
Electrical Infrastructure Upgrade to ICU/HDU at Altnagelvin Hospital,"£100,000 ",13/03/2019,Nicor Construction,33 Patrick Street,STRABANE,BT82 8DQ,Western Health & Social Care Trust,In the public interest,54.82785,-7.46262
Pan Government Integrated Consultant Team Framework Agreement 2018 - Lot 4,N/A,14/03/2019,"Moore Macdonald & Partners
","Surveyor House
7 Balloo Court
Balloo Drive",Bangor,BT19 7AT,DoF,N/A,54.64523,-5.66741
Pan Government Integrated Consultant Team Framework Agreement 2018 - Lot 5,N/A,14/03/2019,"Knox & Clayton
","2A Wallace Avenue
",Lisburn,BT27 4AA,DoF,N/A,54.51303,-6.0423
Pan Government Integrated Consultant Team Framework Agreement 2018 - Lot 6,N/A,14/03/2019,"
 Gregory Architects Ltd
",4 Crescent Gardens,Belfast,BT7 1NS,DoF,N/A,54.58749,-5.93347
Pan Government Integrated Consultant Team Framework Agreement 2018 - Lot 7,N/A,14/03/2019,"
Harry Rolston Architect Ltd",49 Lisleen Road,Belfast,BT5 7SU,DoF,N/A,54.56924,-5.83772
Provision of Aids & Adaptations Minor Works for Clients within the community throughout the NHSCT Area,"£80,000.00 ",21/03/2019,McGuigan Construction Ltd,38 Garvagh Road,DUNGANNON,BT70 3LS,Northern Health & Social Care Trust,In the public interest,54.5388,-6.81333
"Upgrade of CCTV at Royal Courts of Justice, Belfast","£250,000.00 ",22/03/2019,WITHHELD,WITHHELD,WITHHELD,WITHHELD,DOJ,N/A,,
Crumlin Road Gaol CCTV System Refresh,"£37,088.00 ",22/03/2019,VIS Security Solutions Ltd,16-18 Lower Windsor Avenue,Belfast,BT9 7DW,DfI,N/A,54.58104,-5.9501
Electrical Training – IET Regulations (BS 7671:2018) 18th,"£11,098.00 ",22/03/2019,Training Solutions (NI) Ltd,"New Horizons
4A Steeple Road",Antrim,BT41 1AF,DoF,N/A,54.72096,-6.21025
Invest NI London Office Fitout (Framework Call-off),"£477,556.80 ",25/03/2019,Overbury PLC,77 Newman Street,London,W1T 3EW,InvestNI,N/A,51.51741,-0.13592
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,* The exact value is not known at the point of award,,,,,,,,,
